                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1069,                0.59104,                 1.0759,                0.89298,                0.86783,                0.93532,                0.65248,                 1.1023,                0.52222,                 1.0815,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.1131,                0.59228,                 1.0695,                0.92332,                  0.872,                0.94876,                0.66134,                 1.0823,                0.48106,                 1.0747,               0.000614,               0.000614,               0.000614
                     37,                 1.1113,                0.59574,                 1.0747,                0.92537,                0.89275,                0.94083,                0.66381,                 1.1054,                0.49048,                 1.0929,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.1003,                0.58531,                 1.0672,                0.95228,                  0.872,                0.94304,                0.67807,                 1.0828,                0.48257,                 1.0748,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0989,                0.58462,                 1.0649,                0.93118,                0.86603,                0.93032,                0.67511,                  1.056,                0.47665,                 1.0552,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0819,                0.57509,                 1.0644,                0.94972,                0.90657,                0.95853,                0.68519,                 1.0726,                0.45987,                 1.0634,              0.0004556,              0.0004556,              0.0004556
                     41,                  1.072,                0.53745,                 1.0571,                0.94882,                   0.88,                0.94586,                0.68648,                  1.037,                0.46596,                 1.0485,               0.000416,               0.000416,               0.000416
                     42,                 1.0723,                0.52431,                 1.0531,                0.93609,                  0.904,                0.94689,                0.68701,                 1.0404,                0.46125,                  1.058,              0.0003764,              0.0003764,              0.0003764
                     43,                 1.0575,                0.51588,                 1.0485,                 0.9379,                   0.92,                0.94691,                0.69144,                 1.0253,                0.43845,                  1.049,              0.0003368,              0.0003368,              0.0003368
                     44,                 1.0536,                0.50901,                 1.0488,                0.94258,                0.91923,                0.94481,                0.69535,                 1.0427,                0.44049,                 1.0507,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.0548,                 0.5038,                 1.0454,                0.94216,                   0.92,                0.94565,                0.70316,                 1.0155,                0.44066,                 1.0383,              0.0002576,              0.0002576,              0.0002576
                     46,                 1.0506,                0.49782,                   1.04,                0.94913,                 0.8956,                0.95058,                  0.691,                 1.0378,                0.44616,                 1.0448,               0.000218,               0.000218,               0.000218
                     47,                 1.0477,                0.49598,                 1.0362,                0.95055,                  0.888,                0.95477,                0.70168,                 1.0157,                0.43001,                 1.0381,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.0411,                0.50104,                 1.0318,                0.94228,                0.91417,                0.95656,                0.70062,                 1.0048,                0.42249,                 1.0338,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.0386,                0.48917,                  1.033,                0.96045,                  0.904,                0.95813,                0.69618,                 1.0184,                0.42122,                 1.0401,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.0291,                0.48244,                 1.0266,                0.96233,                  0.904,                0.96397,                0.69661,                 1.0121,                0.41493,                 1.0339,               5.96e-05,               5.96e-05,               5.96e-05
